gid,__gid,objectid,uf,pnv,tipo,administra,codigo,contador,coincide1,contador1,coincide2,contador2,coincide3,contador3,coincide,concessao,oaes,fonte,observacao,adequacao,ext_trecho,lado,complement,lado_km,codigo_uni,fotodir,km_i_trech,km_f_trech,nome,mp082_2002,buffer,ar_mm,ar_mm_dist,ar_rh,ar_rh_dist,pcd_cem,pcd_cem_di,rdr_cem,rdr_cem_di,pcd_out,pcd_out_di,rdr_out,rdr_out_di,indice,md_radar,indice_1,degree,degree_in,degree_out,clustering_coeff,avg_shortest_path,betweeness,closeness,vulnerab,infinity,infinity_norm
1,17208,17909,SC,101BSC4110,Em duplicao,Federal,BR-101,227.000000000000000,,0E-15,,0E-15,,0E-15,,,,GPS,,,3.809177802060000,,,0E-15,SC101,,225.740435394000002,229.549613195999996,,,"SRID=4326;POLYGON((-53.5116004106935 -28.748517894624,-53.6140470960872 -28.2390689348641,-53.6161023996271 -27.2588996864351,-53.4268966767795 -26.2971631454426,-53.0537009973656 -25.3908183078089,-52.5108570620547 -24.5746954973602,-51.8192260588506 -2",24400,1.009114264257000,3563,5.837406196405000,6299,13.361638177765000,37,1017.00457455000002,673,8.607798205191999,26,98.372545959459003,8.6078,98.3725,0.696052,1,1,1,NaN,43.4203,0.000000,0.0013,0.000646,1258664,0.533839
2,17223,17925,SC,470BSC0060,Pavimentada,Federal,BR-470,18.000000000000000,,0E-15,,0E-15,,0E-15,,,,GPS,,,0.051767439360400,S,,0E-15,SC470S,,42.878376759900000,42.930144199200001,,,"SRID=4326;POLYGON((-50.7032838080155 -31.5803754873864,-50.9783827665727 -31.4722777694588,-50.97852443947 -31.4722172073147,-51.2481116865936 -31.347375500525,-51.2482441810103 -31.3473092951352,-51.5059863480004 -31.2089533737197,-51.5061012363896 -31.",24284,1.792428651350000,3538,2.364333733121000,3964,1.950249401033000,37,918.589471435260975,1728,6.992560613043000,26,138.434945818692000,1.95025,138.435,0.775639,2,2,2,0.00,22.2806,4359.383333,0.0013,0.002659,1258664,0.533839
3,17228,17931,SC,,Pavimentada,Estadual,SC-108,0E-15,,0E-15,,0E-15,,0E-15,,,,Mapa DER 2005,,,14.614071489200001,,,0E-15,SC108,,0E-15,0E-15,,,"SRID=4326;POLYGON((-53.892397860416 -27.1187860532904,-53.902315412155 -26.743802242483,-53.7365768214665 -25.7777449463587,-53.3855544223375 -24.8625841653217,-52.8627378087109 -24.0334890149593,-52.1882185298495 -23.3223211569379,-51.3879179833651 -22.",24249,0.839927478435000,3551,0.380847053426000,3946,0.474877197997000,37,944.432862517360945,671,0.229712542365000,26,112.279185867514002,0.229713,112.279,0.55697,5,5,5,0.40,17.9223,84372.552092,0.0013,0.007888,1258664,0.533839
4,17252,17970,SC,,Pavimentada,Estadual,SC-418,0E-15,,0E-15,,0E-15,,0E-15,,,,Mapa DER 2005,,,26.264335643500001,,,0E-15,SC418,,0E-15,0E-15,,,"SRID=4326;POLYGON((-54.1359784075729 -26.3484500312203,-54.1360936546312 -26.3447107587593,-54.1355595032346 -26.3415135382222,-54.1269225106277 -26.1984965454366,-54.1268540308525 -26.1976592307619,-54.1034985455665 -25.9740810094744,-54.1002904831242 -",29836,1.656553045976000,3586,0.134928675468000,6952,0.399054980296000,37,880.213777319940959,1690,10.110148940207999,26,153.942140887557002,0.399055,153.942,0.599602,4,4,4,0.33,23.6917,14515.500000,0.0013,0.005613,1258664,0.533839
5,17262,17983,SC,101BSC3830,Duplicada,Federal,BR-101,32.000000000000000,,0E-15,,0E-15,,0E-15,,OHL,V,GPS,,,0.021826591586700,D,,0E-15,SC101D,C:\DNIT_FOTOS\SC\FOTOS\OAES\\1346,24.841839004899999,24.863665596499999,,,"SRID=4326;POLYGON((-53.5867248443582 -24.4300892459632,-53.5922283876664 -24.4280283630795,-53.5922176920295 -24.4279998006117,-53.5780821423782 -24.3992144493314,-53.5696669557523 -24.3691524182336,-53.5604406637324 -24.3453760910926,-53.5604130599421 -",24501,9.864275530943999,3434,9.988515654781001,6263,11.682960951156000,37,866.712034943667959,659,2.966272539421000,25,163.662992092476003,2.96627,163.663,0.820551,2,2,2,0.00,35.4796,26028.000000,0.0013,0.017116,1310720,0.555917
6,33559,17847,SC,,Pavimentada,Estadual,SC-283,14.000000000000000,,0E-15,,0E-15,,0E-15,BR-283,,,Mapa DER 2005,,,23.970466066699998,,,0E-15,SC283,,152.124235421999998,176.094701487999998,,,"SRID=4326;POLYGON((-51.8649473892827 -32.0873018524212,-51.8630931790497 -32.1072060304352,-51.8909917141649 -32.1098049696761,-52.5013373298251 -32.1292115423728,-52.5017499233236 -32.1291994424515,-52.5173732773823 -32.1287168215158,-52.5242539847989 -",30198,22.748030251833001,3822,22.748030251833001,7004,3.029512241235000,37,780.926461758095002,1647,13.039097286349000,25,266.132491615653976,3.02951,266.132,0.984376,4,4,4,0.33,18.2282,45312.643600,0.0012,0.016967,1258592,0.533808
7,17276,18013,SC,101BSC4230,Em duplicao,Federal,BR-101,313.000000000000000,,0E-15,,0E-15,,0E-15,,,V,GPS,,,0.024179673171800,,,0E-15,SC101,C:\DNIT_FOTOS\SC\FOTOS\OAES\\3576,380.080930437000006,380.105110110999988,,,"SRID=4326;POLYGON((-52.4015461331833 -24.8716375263375,-52.412448056475 -24.8580314362883,-52.4124312643341 -24.8580179815316,-52.0991523242559 -24.6539609833238,-51.9341646697372 -24.5351955151982,-51.9291354260628 -24.543218978511,-51.5911231316072 -24",30010,6.152383044654000,3462,6.152492326011000,7403,1.416172320128000,37,1076.16923345999998,676,18.282287256061000,26,87.932030910007995,1.41617,87.932,0.671638,2,2,2,0.00,27.5402,7352.683333,0.0013,0.004016,1258664,0.533839
8,17292,18040,SC,101BSC4115,Em duplicao,Federal,BR-101,245.000000000000000,,0E-15,,0E-15,,0E-15,,,,GPS,,TFDE,0.215521616979000,,,0E-15,SC101,,257.442039062999982,257.657560680000017,,,"SRID=4326;MULTIPOLYGON(((-53.2673534131782 -25.9888233671412,-53.3028116035295 -26.07097269148,-53.2907331983123 -26.0424401143038,-53.290677935873 -26.0423106874747,-53.278303170949 -26.0135777359615,-53.2782478059868 -26.0134502831441,-53.2673534131782",30144,2.236658366867000,3837,24.488612948867001,6931,6.782057201734000,37,1037.68003786000008,673,34.579343884090001,26,88.213704451799998,6.78206,88.2137,0.674891,2,2,2,0.00,32.2912,12614.000000,0.0013,0.011175,1283892,0.544539
9,17294,18054,SC,101BSC4010,Duplicada,Federal,BR-101,126.000000000000000,,0E-15,,0E-15,,0E-15,,OHL,V,GPS,,,0.017754553980500,D,,0E-15,SC101D,C:\DNIT_FOTOS\SC\FOTOS\OAES\\1738,138.949835471999990,138.967590026000011,,,"SRID=4326;POLYGON((-53.6031638038295 -27.0389426271475,-53.604093929183 -26.9273936694137,-53.6040923445776 -26.9273171703839,-53.6025225544109 -26.8683405591118,-53.6025209680068 -26.8682917798849,-53.4747911428068 -25.8964784893847,-53.1599242425989 -2",24185,1.574248195654000,3871,4.196573021375000,3910,2.791231014418000,37,957.628172701127028,1639,15.163044684394000,26,145.955951802174013,2.79123,145.956,0.790831,2,2,2,0.00,38.4374,0.500000,0.0013,0.000786,1258664,0.533839
10,17297,18057,SC,101BSC4010,Duplicada,Federal,BR-101,123.000000000000000,,0E-15,,0E-15,,0E-15,,OHL,,GPS,,TFD,0.136744349726000,D,,0E-15,SC101D,,138.453046263000005,138.589790612999991,,,"SRID=4326;MULTIPOLYGON(((-53.2999239101462 -28.7302810963034,-53.5369699655515 -27.8565509477953,-53.6041343457095 -26.8786834077489,-53.4792356878591 -25.9065021977342,-53.1670737773776 -24.9773676964466,-52.6796448214222 -24.1269860217059,-52.035680441",24185,1.266585302628000,3871,4.005331536992000,3910,2.406469340754000,37,957.200249669479945,1639,14.688081942707001,26,146.177613262763998,2.40647,146.178,0.791486,2,2,2,0.00,35.4809,6750.000000,0.0013,0.006652,1272164,0.539565
